Node	Period	Operationalhour	Value
France	1	111	44501.56019497315
France	1	112	44223.28675457746
France	1	113	44099.312400799
France	1	114	44077.594265830514
France	1	115	43972.967544064246
France	1	116	43746.16647698836
France	1	117	43847.01613180356
France	1	118	44281.0247311468
France	1	119	44709.8103550968
France	1	120	44880.52591239447
France	1	121	45269.26872499629
France	1	122	45490.846816678924
France	1	123	45399.80376537985
France	1	124	45105.38926543555
France	1	125	44856.87006339116
France	1	126	44604.07215269131
France	1	127	44504.127420166464
France	1	128	44472.366614997416
France	1	129	44298.41497690057
France	1	130	44181.10950695752
France	1	131	44092.200891930246
France	1	132	44133.36502002946
France	1	133	44105.13537901517
France	1	134	44068.52537070326
France	1	135	43957.6330456875
France	1	136	43671.234976902306
France	1	137	43536.14581673143
France	1	138	43554.93279036814
France	1	139	43501.08991409208
France	1	140	43336.30553224097
France	1	141	43510.58176202894
France	1	142	43954.90844270456
France	1	143	44360.008709315756
France	1	144	44577.63268403404
France	1	145	56925.002252558086
France	1	146	56971.76312830096
France	1	147	56985.96647381477
France	1	148	56694.84707134078
France	1	149	56367.59963003563
France	1	150	56445.70819424977
France	1	151	56599.36793359658
France	1	152	56658.58132694367
France	1	153	56694.138871287454
France	1	154	56972.599197808355
France	1	155	57510.5066466408
France	1	156	57619.716996529925
France	1	157	57221.27577764236
France	1	158	57012.29774524169
France	1	159	56949.67122108209
France	1	160	56728.634115551286
France	1	161	56620.31393378474
France	1	162	56733.935779839354
France	1	163	56927.97275833729
France	1	164	57194.354339504345
France	1	165	57087.062031426256
France	1	166	57435.643999337706
France	1	167	57802.53097140513
France	1	168	57885.9215276836
France	1	169	57840.99508680114
France	1	170	57958.157933122304
France	1	171	57886.77235135879
France	1	172	57629.08097501273
France	1	173	57228.377450399275
France	1	174	57381.99784529868
France	1	175	57673.88446449708
France	1	176	57786.045647941704
France	1	177	57676.42218135483
France	1	178	57749.16022849794
France	1	179	58132.473507357645
France	1	180	58155.62771465652
France	1	181	57562.89377836279
France	1	182	57241.518495833094
France	1	183	57273.023562094
France	1	184	57129.86879020476
France	1	185	57105.416216141464
France	1	186	57235.40043426138
France	1	187	57515.385358119245
France	1	188	57790.87517886089
France	1	189	57668.80903078163
France	1	190	57946.52181280177
France	1	191	58365.42214434089
France	1	192	58523.63600347502
France	1	193	80647.16632193647
France	1	194	81807.07013982143
France	1	195	82726.32364514327
France	1	196	81960.85774862228
France	1	197	81312.21535256377
France	1	198	80811.95070378763
France	1	199	79262.93030105054
France	1	200	77865.56307084252
France	1	201	77979.89803500645
France	1	202	80039.05854281854
France	1	203	83423.61545042015
France	1	204	86771.80825250609
France	1	205	88538.16738271769
France	1	206	87324.58790245822
France	1	207	85257.7060468425
France	1	208	83915.33251799723
France	1	209	83116.29597172656
France	1	210	81269.13318265336
France	1	211	78912.78439135468
France	1	212	77378.34110638176
France	1	213	76722.1150680855
France	1	214	78322.43079412912
France	1	215	80320.65658902019
France	1	216	80384.62082439165
France	1	217	80073.66198431277
France	1	218	81834.29649742681
France	1	219	82879.68830113459
France	1	220	83014.24631126538
France	1	221	82006.91042431189
France	1	222	81648.26611397607
France	1	223	81716.08610519343
France	1	224	81711.02050758971
France	1	225	82040.34336849565
France	1	226	81924.52315144218
France	1	227	82951.38372042139
France	1	228	85445.6249637687
France	1	229	88177.08371664277
France	1	230	87164.83960987529
France	1	231	83941.31952550939
France	1	232	81385.93701089198
France	1	233	80598.53658494187
France	1	234	79528.09220434797
France	1	235	77824.91042055955
France	1	236	77554.50586964525
France	1	237	76565.85859520985
France	1	238	74829.21435890209
France	1	239	74843.32917940915
France	1	240	76679.79027878774
Germany	2	1	104064.9841673329
Germany	2	2	104793.41335923075
Germany	2	3	105275.8899424921
Germany	2	4	105644.03477820478
Germany	2	5	105916.38503779122
Germany	2	6	106096.16794863588
Germany	2	7	106140.61530427502
Germany	2	8	105986.95008527226
Germany	2	9	105925.26258130839
Germany	2	10	106134.7038504308
Germany	2	11	105935.60859233535
Germany	2	12	105427.09789893604
Germany	2	13	104523.26515876723
Germany	2	14	104061.74600139553
Germany	2	15	103664.90991719355
Germany	2	16	102997.90924684178
Germany	2	17	102788.08650122334
Germany	2	18	102952.52412809001
Germany	2	19	103562.10842294944
Germany	2	20	103591.54464446106
Germany	2	21	103621.59931492394
Germany	2	22	103740.25670656595
Germany	2	23	104265.67738414716
Germany	2	24	104860.97101324011
Germany	2	25	105607.58567471681
Germany	2	26	106446.97384946558
Germany	2	27	107071.7043643548
Germany	2	28	107412.65551475302
Germany	2	29	107596.47063304574
Germany	2	30	107715.63934667782
Germany	2	31	107770.60570775351
Germany	2	32	107754.53608786089
Germany	2	33	107636.7947889511
Germany	2	34	107706.22346693068
Germany	2	35	107184.01252390647
Germany	2	36	106384.99388314049
Germany	2	37	105166.42097955437
Germany	2	38	104542.8232027442
Germany	2	39	103890.12869813247
Germany	2	40	103156.1575127755
Germany	2	41	102813.76176482701
Germany	2	42	102627.4132865446
Germany	2	43	102789.45390890459
Germany	2	44	102717.57526079388
Germany	2	45	102755.50130505158
Germany	2	46	103234.2664417496
Germany	2	47	103966.48311865325
Germany	2	48	104605.6736918789
Germany	2	49	91489.35307122569
Germany	2	50	91905.28304162034
Germany	2	51	92490.21090829126
Germany	2	52	93200.49078239463
Germany	2	53	93791.60823142655
Germany	2	54	94241.99504196184
Germany	2	55	94900.83174330073
Germany	2	56	95580.94437284634
Germany	2	57	96293.70131989199
Germany	2	58	96493.53601530497
Germany	2	59	96351.1468796206
Germany	2	60	96085.58122424343
Germany	2	61	95835.89241337137
Germany	2	62	95486.5746871609
Germany	2	63	94863.46019953117
Germany	2	64	94148.64312883621
Germany	2	65	93247.52425692252
Germany	2	66	92648.36148010494
Germany	2	67	92235.15113509847
Germany	2	68	92043.87738516818
Germany	2	69	91695.04525099146
Germany	2	70	91885.36650539403
Germany	2	71	92147.05136592363
Germany	2	72	92632.33087586053
Germany	2	73	92744.32983307938
Germany	2	74	93041.98419832737
Germany	2	75	93572.16367783873
Germany	2	76	94311.10056763225
Germany	2	77	95241.49423990275
Germany	2	78	96344.74229048131
Germany	2	79	97465.30487455564
Germany	2	80	98128.02746359068
Germany	2	81	98794.3863907451
Germany	2	82	99408.54047642664
Germany	2	83	99619.89298087951
Germany	2	84	99527.07311542306
Germany	2	85	99380.47905829789
Germany	2	86	98771.7981461923
Germany	2	87	97882.59751406802
Germany	2	88	96713.81756747334
Germany	2	89	95712.87266484115
Germany	2	90	94944.58715053042
Germany	2	91	94624.66924303611
Germany	2	92	94179.07564437267
Germany	2	93	93446.49383237395
Germany	2	94	93184.3068169816
Germany	2	95	93201.93622137199
Germany	2	96	93652.25204202769
Germany	2	97	93172.79635935776
Germany	2	98	93244.78465871111
Germany	2	99	93509.72362800813
Germany	2	100	93738.80491382568
Germany	2	101	93858.47883802962
Germany	2	102	94163.93163862475
Germany	2	103	94348.13540768696
Germany	2	104	94539.8767696814
Germany	2	105	94686.71590353386
Germany	2	106	94669.41890715116
Germany	2	107	94374.12111362125
Germany	2	108	94271.90277267392
Germany	2	109	93850.30083046909
Germany	2	110	93749.36207878035
Germany	2	111	93686.07116896404
Germany	2	112	93235.54840151648
Germany	2	113	93054.18785906142
Germany	2	114	92975.48913394456
Germany	2	115	92932.03420477682
Germany	2	116	92648.82435360577
Germany	2	117	92446.11157878762
Germany	2	118	92419.55441096521
Germany	2	119	92469.46073919295
Germany	2	120	92499.71987645196
Germany	2	121	92694.16824242746
Germany	2	122	93090.41205049084
Germany	2	123	93536.51218829532
Germany	2	124	93971.18490404943
Germany	2	125	94245.96613522775
Germany	2	126	94761.87328322738
