Node	Period	Season	Operationalhour	Scenario	HydroGeneratorMaxSeasonalProduction
Germany	2	spring	76	scenario1	57.3075
Germany	2	spring	77	scenario1	34.955
Germany	2	spring	78	scenario1	40.16
Germany	2	spring	79	scenario1	90.3125
Germany	2	spring	80	scenario1	92.7875
Germany	2	spring	81	scenario1	153.5475
Germany	2	spring	82	scenario1	84.6025
Germany	2	spring	83	scenario1	112.4525
Germany	2	spring	84	scenario1	137.7075
Germany	2	spring	85	scenario1	69.2675
Germany	2	spring	86	scenario1	84.045
Germany	2	spring	87	scenario1	107.425
Germany	2	spring	88	scenario1	107.4625
Germany	2	spring	89	scenario1	73.42
Germany	2	spring	90	scenario1	107.0475
Germany	2	spring	91	scenario1	86.2675
Germany	2	spring	92	scenario1	66.3825
Germany	2	spring	93	scenario1	47.015
Germany	2	spring	94	scenario1	46.585
Germany	2	spring	95	scenario1	90.02
Germany	2	spring	96	scenario1	90.955
France	2	spring	49	scenario1	565.0
France	2	spring	50	scenario1	495.0
France	2	spring	51	scenario1	664.0
France	2	spring	52	scenario1	1508.0
France	2	spring	53	scenario1	2020.0
France	2	spring	54	scenario1	2342.0
France	2	spring	55	scenario1	2473.0
France	2	spring	56	scenario1	2103.0
France	2	spring	57	scenario1	1766.0
France	2	spring	58	scenario1	1524.0
France	2	spring	59	scenario1	1479.0
France	2	spring	60	scenario1	1231.0
France	2	spring	61	scenario1	1242.0
France	2	spring	62	scenario1	1158.0
France	2	spring	63	scenario1	1367.0
France	2	spring	64	scenario1	1722.0
France	2	spring	65	scenario1	1971.0
France	2	spring	66	scenario1	2079.0
France	2	spring	67	scenario1	1871.0
France	2	spring	68	scenario1	1905.0
France	2	spring	69	scenario1	1495.0
France	2	spring	70	scenario1	1177.0
France	2	spring	71	scenario1	747.0
France	2	spring	72	scenario1	834.0
France	2	spring	73	scenario1	708.0
France	2	spring	74	scenario1	532.0
France	2	spring	75	scenario1	409.0
France	2	spring	76	scenario1	415.0
France	2	spring	77	scenario1	499.0
France	2	spring	78	scenario1	748.0
France	2	spring	79	scenario1	825.0
France	2	spring	80	scenario1	1101.0
France	2	spring	81	scenario1	984.0
France	2	spring	82	scenario1	1136.0
France	2	spring	83	scenario1	722.0
France	2	spring	84	scenario1	534.0
France	2	spring	85	scenario1	781.0
France	2	spring	86	scenario1	539.0
France	2	spring	87	scenario1	453.0
France	2	spring	88	scenario1	496.0
France	2	spring	89	scenario1	921.0
France	2	spring	90	scenario1	1033.0
France	2	spring	91	scenario1	1406.0
France	2	spring	92	scenario1	1509.0
France	2	spring	93	scenario1	1442.0
France	2	spring	94	scenario1	1084.0
France	2	spring	95	scenario1	611.0
France	2	spring	96	scenario1	456.0
Germany	2	summer	97	scenario1	254.4325
Germany	2	summer	98	scenario1	175.91
Germany	2	summer	99	scenario1	203.785
Germany	2	summer	100	scenario1	336.9025
Germany	2	summer	101	scenario1	337.29
Germany	2	summer	102	scenario1	175.595
Germany	2	summer	103	scenario1	246.6575
Germany	2	summer	104	scenario1	309.36
Germany	2	summer	105	scenario1	205.5175
Germany	2	summer	106	scenario1	173.8
Germany	2	summer	107	scenario1	149.34
Germany	2	summer	108	scenario1	132.24
Germany	2	summer	109	scenario1	140.0925
Germany	2	summer	110	scenario1	321.825
Germany	2	summer	111	scenario1	190.03
Germany	2	summer	112	scenario1	273.4825
Germany	2	summer	113	scenario1	277.1325
Germany	2	summer	114	scenario1	184.54
Germany	2	summer	115	scenario1	188.6325
Germany	2	summer	116	scenario1	279.31
Germany	2	summer	117	scenario1	253.0575
Germany	2	summer	118	scenario1	225.23
Germany	2	summer	119	scenario1	358.1125
Germany	2	summer	120	scenario1	253.76
Germany	2	summer	121	scenario1	145.6175
Germany	2	summer	122	scenario1	333.42
Germany	2	summer	123	scenario1	389.25
Germany	2	summer	124	scenario1	301.0775
Germany	2	summer	125	scenario1	187.0175
Germany	2	summer	126	scenario1	155.93
Germany	2	summer	127	scenario1	142.8475
Germany	2	summer	128	scenario1	123.175
Germany	2	summer	129	scenario1	98.8
Germany	2	summer	130	scenario1	82.6575
Germany	2	summer	131	scenario1	78.2925
Germany	2	summer	132	scenario1	89.3625
Germany	2	summer	133	scenario1	197.0225
Germany	2	summer	134	scenario1	328.025
Germany	2	summer	135	scenario1	168.5375
Germany	2	summer	136	scenario1	169.305
Germany	2	summer	137	scenario1	287.5275
