Node	Operationalhour	Scenario	Period	ElectricLoadRaw_in_MW
Germany	204	scenario1	1	73144.8025
Germany	205	scenario1	1	73290.8625
Germany	206	scenario1	1	73347.8325
Denmark	193	scenario1	1	2949.47
Denmark	194	scenario1	1	3191.99
Denmark	195	scenario1	1	3873.17
Denmark	196	scenario1	1	4612.2
Denmark	197	scenario1	1	4805.88
Denmark	198	scenario1	1	4789.61
Denmark	199	scenario1	1	4742.54
Denmark	200	scenario1	1	2949.47
Denmark	201	scenario1	1	3191.99
Denmark	202	scenario1	1	3873.17
Denmark	203	scenario1	1	4612.2
Denmark	204	scenario1	1	4805.88
Denmark	205	scenario1	1	4789.61
Denmark	206	scenario1	1	4742.54
France	193	scenario1	1	78093.0
France	194	scenario1	1	80490.0
France	195	scenario1	1	86024.0
France	196	scenario1	1	91644.0
France	197	scenario1	1	93696.0
France	198	scenario1	1	93473.0
France	199	scenario1	1	92073.0
France	200	scenario1	1	78093.0
France	201	scenario1	1	80490.0
France	202	scenario1	1	86024.0
France	203	scenario1	1	91644.0
France	204	scenario1	1	93696.0
France	205	scenario1	1	93473.0
France	206	scenario1	1	92073.0
Germany	1	scenario1	2	64738.685
Germany	2	scenario1	2	64460.365
Germany	3	scenario1	2	63122.96
Germany	4	scenario1	2	61744.5675
Germany	5	scenario1	2	61344.3575
Germany	6	scenario1	2	62748.0375
Germany	7	scenario1	2	66487.7025
Germany	8	scenario1	2	66913.0175
Germany	9	scenario1	2	65732.71
Germany	10	scenario1	2	62625.9725
Germany	11	scenario1	2	60240.63
Germany	12	scenario1	2	59278.78
Germany	13	scenario1	2	56690.435
Germany	14	scenario1	2	54517.1775
Germany	15	scenario1	2	52247.2625
Germany	16	scenario1	2	50824.53
Germany	17	scenario1	2	49629.97
Germany	18	scenario1	2	48919.085
Germany	19	scenario1	2	48388.0325
Germany	20	scenario1	2	48369.355
Germany	21	scenario1	2	51090.1925
Germany	22	scenario1	2	54913.6575
Germany	23	scenario1	2	58353.3325
Germany	24	scenario1	2	60707.6325
Germany	25	scenario1	2	61857.1675
Germany	26	scenario1	2	62061.1725
Germany	27	scenario1	2	60646.3775
Germany	28	scenario1	2	59196.7325
Germany	29	scenario1	2	59215.2475
Germany	30	scenario1	2	60681.7925
Germany	31	scenario1	2	63950.555
Germany	32	scenario1	2	64173.5325
Germany	33	scenario1	2	62245.7925
Germany	34	scenario1	2	58471.2475
Germany	35	scenario1	2	55956.8375
Germany	36	scenario1	2	55541.425
Germany	37	scenario1	2	52721.9
Germany	38	scenario1	2	49946.045
Germany	39	scenario1	2	47375.415
Germany	40	scenario1	2	45701.255
Germany	41	scenario1	2	44651.0475
Germany	42	scenario1	2	44156.78
Germany	43	scenario1	2	43261.0975
Germany	44	scenario1	2	42165.615
Germany	45	scenario1	2	43778.5275
Germany	46	scenario1	2	46768.555
Germany	47	scenario1	2	50558.4275
Germany	48	scenario1	2	53724.8925
Denmark	1	scenario1	2	5167.27
Denmark	2	scenario1	2	4897.24
Denmark	3	scenario1	2	4756.96
Denmark	4	scenario1	2	4642.33
Denmark	5	scenario1	2	4624.58
Denmark	6	scenario1	2	4944.3
Denmark	7	scenario1	2	5306.65
Denmark	8	scenario1	2	5136.18
Denmark	9	scenario1	2	4731.36
Denmark	10	scenario1	2	4384.81
Denmark	11	scenario1	2	4092.42
Denmark	12	scenario1	2	3764.51
Denmark	13	scenario1	2	3442.76
Denmark	14	scenario1	2	3232.6
Denmark	15	scenario1	2	3080.84
Denmark	16	scenario1	2	2997.29
Denmark	17	scenario1	2	2977.14
Denmark	18	scenario1	2	3021.87
Denmark	19	scenario1	2	3087.61
Denmark	20	scenario1	2	3263.08
Denmark	21	scenario1	2	3567.91
Denmark	22	scenario1	2	3911.99
Denmark	23	scenario1	2	4138.19
Denmark	24	scenario1	2	4225.76
Denmark	25	scenario1	2	4207.87
Denmark	26	scenario1	2	4154.4
Denmark	27	scenario1	2	4073.16
Denmark	28	scenario1	2	4050.76
Denmark	29	scenario1	2	4110.37
Denmark	30	scenario1	2	4382.37
Denmark	31	scenario1	2	4739.13
Denmark	32	scenario1	2	4633.78
Denmark	33	scenario1	2	4260.34
Denmark	34	scenario1	2	3983.45
Denmark	35	scenario1	2	3764.17
Denmark	36	scenario1	2	3541.83
Denmark	37	scenario1	2	3340.42
Denmark	38	scenario1	2	3153.27
Denmark	39	scenario1	2	2996.03
Denmark	40	scenario1	2	2935.39
