Node	IntermitentGenerators	Operationalhour	Scenario	Period	GeneratorStochasticAvailabilityRaw
Denmark	Hydrorun-of-the-river	45	scenario1	1	0.2
Denmark	Hydrorun-of-the-river	46	scenario1	1	0.2
Denmark	Hydrorun-of-the-river	47	scenario1	1	0.2
Denmark	Hydrorun-of-the-river	48	scenario1	1	0.2
France	Hydrorun-of-the-river	1	scenario1	1	0.832574172
France	Hydrorun-of-the-river	2	scenario1	1	0.821617629
France	Hydrorun-of-the-river	3	scenario1	1	0.795026468
France	Hydrorun-of-the-river	4	scenario1	1	0.79404161
France	Hydrorun-of-the-river	5	scenario1	1	0.779761172
France	Hydrorun-of-the-river	6	scenario1	1	0.75587837
France	Hydrorun-of-the-river	7	scenario1	1	0.736181214
France	Hydrorun-of-the-river	8	scenario1	1	0.73679675
France	Hydrorun-of-the-river	9	scenario1	1	0.749476794
France	Hydrorun-of-the-river	10	scenario1	1	0.769666379
France	Hydrorun-of-the-river	11	scenario1	1	0.789117321
France	Hydrorun-of-the-river	12	scenario1	1	0.806229226
France	Hydrorun-of-the-river	13	scenario1	1	0.826172596
France	Hydrorun-of-the-river	14	scenario1	1	0.88280192
France	Hydrorun-of-the-river	15	scenario1	1	0.88058599
France	Hydrorun-of-the-river	16	scenario1	1	0.85485658
France	Hydrorun-of-the-river	17	scenario1	1	0.816816447
France	Hydrorun-of-the-river	18	scenario1	1	0.765603841
France	Hydrorun-of-the-river	19	scenario1	1	0.7478764
France	Hydrorun-of-the-river	20	scenario1	1	0.730641389
France	Hydrorun-of-the-river	21	scenario1	1	0.758586729
France	Hydrorun-of-the-river	22	scenario1	1	0.837744676
France	Hydrorun-of-the-river	23	scenario1	1	0.8637203
France	Hydrorun-of-the-river	24	scenario1	1	0.842053429
France	Hydrorun-of-the-river	25	scenario1	1	0.760802659
France	Hydrorun-of-the-river	26	scenario1	1	0.773728918
France	Hydrorun-of-the-river	27	scenario1	1	0.773975132
France	Hydrorun-of-the-river	28	scenario1	1	0.738520251
