Country,Energy_Type,Period,Type,Value
Germany,HydroPumpStorage,4,Storage Power,0.0018313738449727544
Germany,HydroPumpStorage,5,Storage Power,0.014749220575521542
Germany,HydroPumpStorage,6,Storage Power,0.13657755833137442
Germany,HydroPumpStorage,7,Storage Power,0.21620890118498298
Germany,HydroPumpStorage,8,Storage Power,0.15450813481273887
Germany,Li-Ion_BESS,1,Storage Power,26.398419012473855
Germany,Li-Ion_BESS,2,Storage Power,687.9640648572165
Germany,Li-Ion_BESS,3,Storage Power,6292.602680216931
Germany,Li-Ion_BESS,4,Storage Power,4276.869776959462
Germany,Li-Ion_BESS,5,Storage Power,146660.1521285056
Germany,Li-Ion_BESS,6,Storage Power,71261.3072949637
Germany,Li-Ion_BESS,7,Storage Power,112553.85629731012
Germany,Li-Ion_BESS,8,Storage Power,85756.51375656524
Denmark,Li-Ion_BESS,1,Storage Power,53.969081915814556
Denmark,Li-Ion_BESS,2,Storage Power,236.32058296776003
Denmark,Li-Ion_BESS,3,Storage Power,449.99427170675614
Denmark,Li-Ion_BESS,4,Storage Power,49.49976761726712
Denmark,Li-Ion_BESS,5,Storage Power,0.6488305675642587
Denmark,Li-Ion_BESS,6,Storage Power,1.439561497229903
Denmark,Li-Ion_BESS,7,Storage Power,5119.70754583476
Denmark,Li-Ion_BESS,8,Storage Power,1.3775702092814224
France,HydroPumpStorage,1,Storage Power,0.13931408986445604
France,HydroPumpStorage,2,Storage Power,0.024825305586483937
France,HydroPumpStorage,3,Storage Power,0.008697083445137203
France,HydroPumpStorage,4,Storage Power,0.019597047274224996
France,HydroPumpStorage,5,Storage Power,0.09709562394447999
France,HydroPumpStorage,6,Storage Power,374.64278402231434
France,HydroPumpStorage,7,Storage Power,2148.164661861275
France,HydroPumpStorage,8,Storage Power,1.3485742422608142
France,Li-Ion_BESS,1,Storage Power,25.40402402353922
France,Li-Ion_BESS,2,Storage Power,50.68781272124157
France,Li-Ion_BESS,3,Storage Power,0.5178373259215908
France,Li-Ion_BESS,4,Storage Power,109.20885220139476
France,Li-Ion_BESS,5,Storage Power,3.492699515587655
France,Li-Ion_BESS,6,Storage Power,1.3687589801259705
France,Li-Ion_BESS,7,Storage Power,7563.390882615761
France,Li-Ion_BESS,8,Storage Power,12184.399930128868
Germany,HydroPumpStorage,1,Storage Energy,12.128682541180751
Germany,HydroPumpStorage,2,Storage Energy,0.23378354601101556
Germany,HydroPumpStorage,3,Storage Energy,0.07965997536625916
Germany,HydroPumpStorage,4,Storage Energy,0.12141589095109226
Germany,HydroPumpStorage,5,Storage Energy,3848.1959682099473
Germany,HydroPumpStorage,6,Storage Energy,12.791340168768011
Germany,HydroPumpStorage,7,Storage Energy,0.22247664801534306
Germany,HydroPumpStorage,8,Storage Energy,0.6911479828036994
Germany,Li-Ion_BESS,1,Storage Energy,52.79683802494771
