Unnamed:_1	Unnamed:_2	Unnamed:_3	Unnamed:_4	Unnamed:_5
Germany	Hydrorun-of-the-river	5	1	0.5443421624400001
Denmark	Hydrorun-of-the-river	5	1	0.35412000000000005
France	Hydrorun-of-the-river	5	1	0.61817801304
Germany	Bio	5	1	0.8000000000000006
France	Bio	5	1	0.8000000000000006
Germany	Windonshore	5	1	0.2454160000000001
Denmark	Windonshore	5	1	0.285743
France	Windonshore	5	1	0.31587000000000004
Germany	Windoffshore	5	1	0.39712999999999987
Denmark	Windoffshore	5	1	0.39430600000000005
France	Windoffshore	5	1	0.511631
Germany	Solar	5	1	0.10663000000000002
Denmark	Solar	5	1	0.07375
France	Solar	5	1	0.11599999999999999
Germany	Bio10cofiringCCS	5	1	0.8000000000000006
Denmark	Bio10cofiringCCS	5	1	0.8000000000000006
France	Bio10cofiringCCS	5	1	0.8000000000000006
Germany	LigniteCCSsup	5	1	0.8000000000000006
Germany	CoalCCS	5	1	0.8000000000000006
France	CoalCCS	5	1	0.8000000000000006
Germany	GasCCS	5	1	0.8499999999999984
France	GasCCS	5	1	0.8499999999999984
Germany	Waste	5	1	0.9499999999999981
Denmark	Waste	5	1	0.9499999999999981
France	Waste	5	1	0.9499999999999981
Germany	Liginiteexisting	6	1	0.7499999999999988
Germany	Lignite	6	1	0.8000000000000006
Germany	LigniteCCSadv	6	1	0.8000000000000006
Germany	Coalexisting	6	1	0.7499999999999988
Denmark	Coalexisting	6	1	0.7499999999999988
France	Coalexisting	6	1	0.7499999999999988
Germany	Coal	6	1	0.7499999999999988
Denmark	Coal	6	1	0.7499999999999988
France	Coal	6	1	0.7499999999999988
Germany	CoalCCSadv	6	1	0.8000000000000006
Denmark	CoalCCSadv	6	1	0.8000000000000006
France	CoalCCSadv	6	1	0.8000000000000006
Germany	Gasexisting	6	1	0.8000000000000006
Denmark	Gasexisting	6	1	0.8000000000000006
France	Gasexisting	6	1	0.8000000000000006
Germany	GasOCGT	6	1	0.8499999999999984
Denmark	GasOCGT	6	1	0.8499999999999984
France	GasOCGT	6	1	0.8499999999999984
Germany	GasCCGT	6	1	0.8499999999999984
Denmark	GasCCGT	6	1	0.8499999999999984
France	GasCCGT	6	1	0.8499999999999984
Germany	GasCCSadv	6	1	0.8499999999999984
Denmark	GasCCSadv	6	1	0.8499999999999984
France	GasCCSadv	6	1	0.8499999999999984
Germany	Oilexisting	6	1	0.8499999999999984
Denmark	Oilexisting	6	1	0.8499999999999984
France	Oilexisting	6	1	0.8499999999999984
Germany	Bioexisting	6	1	0.8000000000000006
Denmark	Bioexisting	6	1	0.8000000000000006
France	Bioexisting	6	1	0.8000000000000006
Germany	Bio10cofiring	6	1	0.8000000000000006
Denmark	Bio10cofiring	6	1	0.8000000000000006
France	Bio10cofiring	6	1	0.8000000000000006
Germany	Nuclear	6	1	0.7499999999999988
France	Nuclear	6	1	0.7499999999999988
France	Wave	6	1	0.33000000000000046
Germany	Geo	6	1	0.8000000000000006
France	Geo	6	1	0.8000000000000006
Germany	Hydroregulated	6	1	1.0
France	Hydroregulated	6	1	1.0
Germany	Hydrorun-of-the-river	6	1	0.5445940468100002
Denmark	Hydrorun-of-the-river	6	1	0.35446000000000005
France	Hydrorun-of-the-river	6	1	0.6153945586399998
Germany	Bio	6	1	0.8000000000000006
France	Bio	6	1	0.8000000000000006
Germany	Windonshore	6	1	0.247991
Denmark	Windonshore	6	1	0.2883869999999999
France	Windonshore	6	1	0.31694499999999987
Germany	Windoffshore	6	1	0.402092
Denmark	Windoffshore	6	1	0.397795
France	Windoffshore	6	1	0.5093849999999999
Germany	Solar	6	1	0.11079000000000001
Denmark	Solar	6	1	0.07909000000000002
France	Solar	6	1	0.12273
Germany	Bio10cofiringCCS	6	1	0.8000000000000006
Denmark	Bio10cofiringCCS	6	1	0.8000000000000006
France	Bio10cofiringCCS	6	1	0.8000000000000006
Germany	LigniteCCSsup	6	1	0.8000000000000006
Germany	CoalCCS	6	1	0.8000000000000006
France	CoalCCS	6	1	0.8000000000000006
Germany	GasCCS	6	1	0.8499999999999984
France	GasCCS	6	1	0.8499999999999984
Germany	Waste	6	1	0.9499999999999981
Denmark	Waste	6	1	0.9499999999999981
France	Waste	6	1	0.9499999999999981
Germany	Liginiteexisting	7	1	0.7499999999999988
Germany	Lignite	7	1	0.8000000000000006
Germany	LigniteCCSadv	7	1	0.8000000000000006
Germany	Coalexisting	7	1	0.7499999999999988
Denmark	Coalexisting	7	1	0.7499999999999988
France	Coalexisting	7	1	0.7499999999999988
Germany	Coal	7	1	0.7499999999999988
Denmark	Coal	7	1	0.7499999999999988
France	Coal	7	1	0.7499999999999988
Germany	CoalCCSadv	7	1	0.8000000000000006
Denmark	CoalCCSadv	7	1	0.8000000000000006
France	CoalCCSadv	7	1	0.8000000000000006
Germany	Gasexisting	7	1	0.8000000000000006
Denmark	Gasexisting	7	1	0.8000000000000006
France	Gasexisting	7	1	0.8000000000000006
Germany	GasOCGT	7	1	0.8499999999999984
Denmark	GasOCGT	7	1	0.8499999999999984
France	GasOCGT	7	1	0.8499999999999984
Germany	GasCCGT	7	1	0.8499999999999984
Denmark	GasCCGT	7	1	0.8499999999999984
France	GasCCGT	7	1	0.8499999999999984
Germany	GasCCSadv	7	1	0.8499999999999984
Denmark	GasCCSadv	7	1	0.8499999999999984
France	GasCCSadv	7	1	0.8499999999999984
Germany	Oilexisting	7	1	0.8499999999999984
Denmark	Oilexisting	7	1	0.8499999999999984
France	Oilexisting	7	1	0.8499999999999984
Germany	Bioexisting	7	1	0.8000000000000006
Denmark	Bioexisting	7	1	0.8000000000000006
France	Bioexisting	7	1	0.8000000000000006
Germany	Bio10cofiring	7	1	0.8000000000000006
Denmark	Bio10cofiring	7	1	0.8000000000000006
France	Bio10cofiring	7	1	0.8000000000000006
Germany	Nuclear	7	1	0.7499999999999988
France	Nuclear	7	1	0.7499999999999988
France	Wave	7	1	0.33000000000000046
Germany	Geo	7	1	0.8000000000000006
France	Geo	7	1	0.8000000000000006
Germany	Hydroregulated	7	1	1.0
France	Hydroregulated	7	1	1.0
Germany	Hydrorun-of-the-river	7	1	0.54553768455
Denmark	Hydrorun-of-the-river	7	1	0.35616000000000014
France	Hydrorun-of-the-river	7	1	0.6133485165299998
Germany	Bio	7	1	0.8000000000000006
France	Bio	7	1	0.8000000000000006
Germany	Windonshore	7	1	0.25212
Denmark	Windonshore	7	1	0.29360899999999984
France	Windonshore	7	1	0.31705000000000005
Germany	Windoffshore	7	1	0.40571900000000005
Denmark	Windoffshore	7	1	0.4015350000000002
France	Windoffshore	7	1	0.5005700000000001
Germany	Solar	7	1	0.10891000000000002
Denmark	Solar	7	1	0.07937999999999999
France	Solar	7	1	0.12625000000000003
Germany	Bio10cofiringCCS	7	1	0.8000000000000006
Denmark	Bio10cofiringCCS	7	1	0.8000000000000006
France	Bio10cofiringCCS	7	1	0.8000000000000006
Germany	LigniteCCSsup	7	1	0.8000000000000006
Germany	CoalCCS	7	1	0.8000000000000006
France	CoalCCS	7	1	0.8000000000000006
Germany	GasCCS	7	1	0.8499999999999984
France	GasCCS	7	1	0.8499999999999984
Germany	Waste	7	1	0.9499999999999981
Denmark	Waste	7	1	0.9499999999999981
France	Waste	7	1	0.9499999999999981
Germany	Liginiteexisting	8	1	0.7499999999999988
Germany	Lignite	8	1	0.8000000000000006
Germany	LigniteCCSadv	8	1	0.8000000000000006
Germany	Coalexisting	8	1	0.7499999999999988
Denmark	Coalexisting	8	1	0.7499999999999988
France	Coalexisting	8	1	0.7499999999999988
Germany	Coal	8	1	0.7499999999999988
Denmark	Coal	8	1	0.7499999999999988
France	Coal	8	1	0.7499999999999988
Germany	CoalCCSadv	8	1	0.8000000000000006
Denmark	CoalCCSadv	8	1	0.8000000000000006
France	CoalCCSadv	8	1	0.8000000000000006
Germany	Gasexisting	8	1	0.8000000000000006
Denmark	Gasexisting	8	1	0.8000000000000006
France	Gasexisting	8	1	0.8000000000000006
Germany	GasOCGT	8	1	0.8499999999999984
Denmark	GasOCGT	8	1	0.8499999999999984
France	GasOCGT	8	1	0.8499999999999984
Germany	GasCCGT	8	1	0.8499999999999984
Denmark	GasCCGT	8	1	0.8499999999999984
France	GasCCGT	8	1	0.8499999999999984
Germany	GasCCSadv	8	1	0.8499999999999984
Denmark	GasCCSadv	8	1	0.8499999999999984
France	GasCCSadv	8	1	0.8499999999999984
Germany	Oilexisting	8	1	0.8499999999999984
Denmark	Oilexisting	8	1	0.8499999999999984
France	Oilexisting	8	1	0.8499999999999984
Germany	Bioexisting	8	1	0.8000000000000006
Denmark	Bioexisting	8	1	0.8000000000000006
France	Bioexisting	8	1	0.8000000000000006
Germany	Bio10cofiring	8	1	0.8000000000000006
Denmark	Bio10cofiring	8	1	0.8000000000000006
France	Bio10cofiring	8	1	0.8000000000000006
Germany	Nuclear	8	1	0.7499999999999988
France	Nuclear	8	1	0.7499999999999988
France	Wave	8	1	0.33000000000000046
Germany	Geo	8	1	0.8000000000000006
France	Geo	8	1	0.8000000000000006
Germany	Hydroregulated	8	1	1.0
France	Hydroregulated	8	1	1.0
Germany	Hydrorun-of-the-river	8	1	0.5458722966199996
Denmark	Hydrorun-of-the-river	8	1	0.35656
France	Hydrorun-of-the-river	8	1	0.6102646805700002
Germany	Bio	8	1	0.8000000000000006
France	Bio	8	1	0.8000000000000006
Germany	Windonshore	8	1	0.25861700000000015
Denmark	Windonshore	8	1	0.299854
France	Windonshore	8	1	0.319056
Germany	Windoffshore	8	1	0.4058500000000001
Denmark	Windoffshore	8	1	0.4067799999999999
France	Windoffshore	8	1	0.495082
Germany	Solar	8	1	0.10599999999999998
Denmark	Solar	8	1	0.07840999999999998
France	Solar	8	1	0.12693000000000004
Germany	Bio10cofiringCCS	8	1	0.8000000000000006
Denmark	Bio10cofiringCCS	8	1	0.8000000000000006
France	Bio10cofiringCCS	8	1	0.8000000000000006
Germany	LigniteCCSsup	8	1	0.8000000000000006
Germany	CoalCCS	8	1	0.8000000000000006
France	CoalCCS	8	1	0.8000000000000006
Germany	GasCCS	8	1	0.8499999999999984
France	GasCCS	8	1	0.8499999999999984
Germany	Waste	8	1	0.9499999999999981
Denmark	Waste	8	1	0.9499999999999981
France	Waste	8	1	0.9499999999999981
Germany	Liginiteexisting	9	1	0.7499999999999988
Germany	Lignite	9	1	0.8000000000000006
Germany	LigniteCCSadv	9	1	0.8000000000000006
Germany	Coalexisting	9	1	0.7499999999999988
Denmark	Coalexisting	9	1	0.7499999999999988
France	Coalexisting	9	1	0.7499999999999988
Germany	Coal	9	1	0.7499999999999988
Denmark	Coal	9	1	0.7499999999999988
France	Coal	9	1	0.7499999999999988
Germany	CoalCCSadv	9	1	0.8000000000000006
Denmark	CoalCCSadv	9	1	0.8000000000000006
France	CoalCCSadv	9	1	0.8000000000000006
Germany	Gasexisting	9	1	0.8000000000000006
Denmark	Gasexisting	9	1	0.8000000000000006
France	Gasexisting	9	1	0.8000000000000006
Germany	GasOCGT	9	1	0.8499999999999984
Denmark	GasOCGT	9	1	0.8499999999999984
France	GasOCGT	9	1	0.8499999999999984
Germany	GasCCGT	9	1	0.8499999999999984
Denmark	GasCCGT	9	1	0.8499999999999984
France	GasCCGT	9	1	0.8499999999999984
Germany	GasCCSadv	9	1	0.8499999999999984
Denmark	GasCCSadv	9	1	0.8499999999999984
France	GasCCSadv	9	1	0.8499999999999984
Germany	Oilexisting	9	1	0.8499999999999984
Denmark	Oilexisting	9	1	0.8499999999999984
France	Oilexisting	9	1	0.8499999999999984
Germany	Bioexisting	9	1	0.8000000000000006
Denmark	Bioexisting	9	1	0.8000000000000006
France	Bioexisting	9	1	0.8000000000000006
Germany	Bio10cofiring	9	1	0.8000000000000006
Denmark	Bio10cofiring	9	1	0.8000000000000006
France	Bio10cofiring	9	1	0.8000000000000006
Germany	Nuclear	9	1	0.7499999999999988
France	Nuclear	9	1	0.7499999999999988
France	Wave	9	1	0.33000000000000046
Germany	Geo	9	1	0.8000000000000006
France	Geo	9	1	0.8000000000000006
Germany	Hydroregulated	9	1	1.0
France	Hydroregulated	9	1	1.0
Germany	Hydrorun-of-the-river	9	1	0.5461409862999997
Denmark	Hydrorun-of-the-river	9	1	0.3573400000000001
France	Hydrorun-of-the-river	9	1	0.6112778530099997
Germany	Bio	9	1	0.8000000000000006
France	Bio	9	1	0.8000000000000006
Germany	Windonshore	9	1	0.2645989999999999
Denmark	Windonshore	9	1	0.30426299999999995
France	Windonshore	9	1	0.3205229999999999
Germany	Windoffshore	9	1	0.4063070000000002
Denmark	Windoffshore	9	1	0.41106299999999985
France	Windoffshore	9	1	0.49550600000000017
Germany	Solar	9	1	0.10447999999999999
Denmark	Solar	9	1	0.07490000000000001
France	Solar	9	1	0.12624
Germany	Bio10cofiringCCS	9	1	0.8000000000000006
Denmark	Bio10cofiringCCS	9	1	0.8000000000000006
France	Bio10cofiringCCS	9	1	0.8000000000000006
Germany	LigniteCCSsup	9	1	0.8000000000000006
Germany	CoalCCS	9	1	0.8000000000000006
France	CoalCCS	9	1	0.8000000000000006
Germany	GasCCS	9	1	0.8499999999999984
France	GasCCS	9	1	0.8499999999999984
Germany	Waste	9	1	0.9499999999999981
Denmark	Waste	9	1	0.9499999999999981
France	Waste	9	1	0.9499999999999981
Germany	Liginiteexisting	10	1	0.7499999999999988
Germany	Lignite	10	1	0.8000000000000006
Germany	LigniteCCSadv	10	1	0.8000000000000006
Germany	Coalexisting	10	1	0.7499999999999988
Denmark	Coalexisting	10	1	0.7499999999999988
