Country,Energy_Type,Period,Type,Value
Germany,Bio10cofiringCCS,2,Generation,0.0
Germany,Bio10cofiringCCS,3,Generation,0.0
Germany,Bio10cofiringCCS,4,Generation,0.0
Germany,Bio10cofiringCCS,5,Generation,0.0
Germany,Bio10cofiringCCS,6,Generation,0.0
Germany,Bio10cofiringCCS,7,Generation,0.0
Germany,Bio10cofiringCCS,8,Generation,0.0
Denmark,Bio10cofiringCCS,1,Generation,0.0
Denmark,Bio10cofiringCCS,2,Generation,0.0
Denmark,Bio10cofiringCCS,3,Generation,0.0
Denmark,Bio10cofiringCCS,4,Generation,0.0
Denmark,Bio10cofiringCCS,5,Generation,0.0
Denmark,Bio10cofiringCCS,6,Generation,0.0
Denmark,Bio10cofiringCCS,7,Generation,0.0
Denmark,Bio10cofiringCCS,8,Generation,0.0
France,Bio10cofiringCCS,1,Generation,0.0
France,Bio10cofiringCCS,2,Generation,0.0
France,Bio10cofiringCCS,3,Generation,0.0
France,Bio10cofiringCCS,4,Generation,0.0
France,Bio10cofiringCCS,5,Generation,0.0
France,Bio10cofiringCCS,6,Generation,0.0
France,Bio10cofiringCCS,7,Generation,0.0
France,Bio10cofiringCCS,8,Generation,0.0
Germany,LigniteCCSsup,1,Generation,0.0
Germany,LigniteCCSsup,2,Generation,0.0
Germany,LigniteCCSsup,3,Generation,0.0
Germany,LigniteCCSsup,4,Generation,0.0
Germany,LigniteCCSsup,5,Generation,0.0
Germany,LigniteCCSsup,6,Generation,0.0
Germany,LigniteCCSsup,7,Generation,0.0
Germany,LigniteCCSsup,8,Generation,0.0
Germany,CoalCCS,1,Generation,0.0
Germany,CoalCCS,2,Generation,0.0
Germany,CoalCCS,3,Generation,0.0
Germany,CoalCCS,4,Generation,0.0
Germany,CoalCCS,5,Generation,0.0
Germany,CoalCCS,6,Generation,0.0
Germany,CoalCCS,7,Generation,0.0
Germany,CoalCCS,8,Generation,0.0
France,CoalCCS,1,Generation,0.0
France,CoalCCS,2,Generation,0.0
France,CoalCCS,3,Generation,0.0
France,CoalCCS,4,Generation,0.0
France,CoalCCS,5,Generation,0.0
France,CoalCCS,6,Generation,0.0
France,CoalCCS,7,Generation,0.0
France,CoalCCS,8,Generation,0.0
Germany,GasCCS,1,Generation,0.0
Germany,GasCCS,2,Generation,0.0
Germany,GasCCS,3,Generation,0.0
Germany,GasCCS,4,Generation,0.0
Germany,GasCCS,5,Generation,0.0
Germany,GasCCS,6,Generation,0.0
Germany,GasCCS,7,Generation,0.0
Germany,GasCCS,8,Generation,0.0
France,GasCCS,1,Generation,0.0
France,GasCCS,2,Generation,0.0
France,GasCCS,3,Generation,0.0
France,GasCCS,4,Generation,0.0
France,GasCCS,5,Generation,0.0
France,GasCCS,6,Generation,0.0
France,GasCCS,7,Generation,0.0
France,GasCCS,8,Generation,0.0
Germany,Waste,1,Generation,273.37329473443424
Germany,Waste,2,Generation,0.033884890982098154
Germany,Waste,3,Generation,0.724634857006037
Germany,Waste,4,Generation,0.011454053516339416
Germany,Waste,5,Generation,273.4001384308148
Germany,Waste,6,Generation,0.048649953308762185
Germany,Waste,7,Generation,0.7298545111666166
Germany,Waste,8,Generation,0.006893637908668466
Denmark,Waste,1,Generation,0.0
Denmark,Waste,2,Generation,0.0
Denmark,Waste,3,Generation,0.0
Denmark,Waste,4,Generation,0.0
Denmark,Waste,5,Generation,0.0
Denmark,Waste,6,Generation,0.0
Denmark,Waste,7,Generation,0.0
Denmark,Waste,8,Generation,0.0
France,Waste,1,Generation,43.748686670239294
France,Waste,2,Generation,0.33711754852838227
France,Waste,3,Generation,0.02639820618633783
France,Waste,4,Generation,0.0024230027446900614
France,Waste,5,Generation,0.008957261850563603
France,Waste,6,Generation,0.0015791193573624568
France,Waste,7,Generation,0.00173586592151087
France,Waste,8,Generation,0.002452268768633256
Denmark,Germany,1,Transmission,0.0
Denmark,Germany,2,Transmission,1999.1156826039823
Denmark,Germany,3,Transmission,0.3720694872752205
Denmark,Germany,4,Transmission,0.013562147385059647
Denmark,Germany,5,Transmission,0.3014161605949352
Denmark,Germany,6,Transmission,0.15689963695605222
Denmark,Germany,7,Transmission,0.015752286512500623
Denmark,Germany,8,Transmission,0.0007645939982719476
France,Germany,1,Transmission,0.0
France,Germany,2,Transmission,0.0
France,Germany,3,Transmission,1799.7541010834157
France,Germany,4,Transmission,0.014734226926903196
France,Germany,5,Transmission,0.04678098005806901
France,Germany,6,Transmission,0.07886300614474943
France,Germany,7,Transmission,0.0180809970232893
France,Germany,8,Transmission,0.0006102783698414858
Germany,HydroPumpStorage,1,Storage Power,0.017926874290424166
Germany,HydroPumpStorage,2,Storage Power,0.020732947899287348
Germany,HydroPumpStorage,3,Storage Power,0.062194865806947594
Germany,HydroPumpStorage,4,Storage Power,0.0011721836497932366
Germany,HydroPumpStorage,5,Storage Power,0.0010864236640629368
Germany,HydroPumpStorage,6,Storage Power,0.12698290734432058
Germany,HydroPumpStorage,7,Storage Power,0.1684607763873815
Germany,HydroPumpStorage,8,Storage Power,0.007066620011666154
Germany,Li-Ion_BESS,1,Storage Power,17.648713440304224
Germany,Li-Ion_BESS,2,Storage Power,2573.457614165367
Germany,Li-Ion_BESS,3,Storage Power,3562.972980695061
Germany,Li-Ion_BESS,4,Storage Power,33535.43896388932
Germany,Li-Ion_BESS,5,Storage Power,209513.34677443214
Germany,Li-Ion_BESS,6,Storage Power,207113.23661171083
Germany,Li-Ion_BESS,7,Storage Power,249999.7601379132
Germany,Li-Ion_BESS,8,Storage Power,249997.0242427634
Denmark,Li-Ion_BESS,1,Storage Power,18.552205739366034
Denmark,Li-Ion_BESS,2,Storage Power,59.2933064695276
Denmark,Li-Ion_BESS,3,Storage Power,3.5370195625879024
Denmark,Li-Ion_BESS,4,Storage Power,0.6314041475172747
Denmark,Li-Ion_BESS,5,Storage Power,1943.5699067767453
Denmark,Li-Ion_BESS,6,Storage Power,262.9281743816804
Denmark,Li-Ion_BESS,7,Storage Power,2775.574921340918
Denmark,Li-Ion_BESS,8,Storage Power,5.28121235169274
France,HydroPumpStorage,1,Storage Power,0.11506644839118962
France,HydroPumpStorage,2,Storage Power,0.08712758251466046
France,HydroPumpStorage,3,Storage Power,2522.107178906098
France,HydroPumpStorage,4,Storage Power,0.005028292463357821
France,HydroPumpStorage,5,Storage Power,0.0024011500640381813
France,HydroPumpStorage,6,Storage Power,0.05544293848519662
France,HydroPumpStorage,7,Storage Power,0.4680868902740695
France,HydroPumpStorage,8,Storage Power,1745.0506425035198
France,Li-Ion_BESS,1,Storage Power,36.13046309647666
France,Li-Ion_BESS,2,Storage Power,329.33270079667005
France,Li-Ion_BESS,3,Storage Power,8275.523323483045
France,Li-Ion_BESS,4,Storage Power,2945.914761348043
France,Li-Ion_BESS,5,Storage Power,0.45701673264590387
France,Li-Ion_BESS,6,Storage Power,0.10133024303504035
France,Li-Ion_BESS,7,Storage Power,43139.36975046678
France,Li-Ion_BESS,8,Storage Power,1.567676877007776
Germany,HydroPumpStorage,1,Storage Energy,0.00999148049595533
Germany,HydroPumpStorage,2,Storage Energy,0.0177316501195114
Germany,HydroPumpStorage,3,Storage Energy,0.6005751023324163
Germany,HydroPumpStorage,4,Storage Energy,3860.3404994278503
Germany,HydroPumpStorage,5,Storage Energy,0.08972611010029066
Germany,HydroPumpStorage,6,Storage Energy,0.02851367009929333
Germany,HydroPumpStorage,7,Storage Energy,0.054700600826120625
Germany,HydroPumpStorage,8,Storage Energy,0.31045189345183233
